GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1
 "00000","United States", ,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",14771602.0,14839782.0,14972054.0,15066597.0,15267026.0,15302705.0,15326368.0,15456928.0,15493328.0,15582085.0,15666738.0,15761967.0,15671383.0,15752308.0,15667032.0,15328027.0,15155940.0,15134117.0,15189222.0,15356058.0,15415145.0,15557277.0,15671967.0,15750625.0,15712754.0,15825096.0,15820700.0,16004107.0,16129418.0,16198807.0,16220667.0,16239138.0,16382964.0,16403180.0,16531685.0,16663649.0,16616540.0,16841475.0,17047098.0,17143038.0,17305752.0,17422845.0,17486021.0,17514062.0,17613264.0,17668203.0,17764388.0,17876179.0,17977299.0,18054052.0,18185636.0,18359432.0,18530483.0,18654383.0,18752355.0,18813923.0,18950347.0,19020599.0,19141744.0,19253959.0,19010848.0,17302511.0,18596521.0,18794426.0,19086375.0
 "00000","United States", ,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.200,91.621,92.437,93.021,94.258,94.479,94.625,95.431,95.655,96.203,96.726,97.314,96.755,97.254,96.728,94.635,93.572,93.438,93.778,94.808,95.173,96.050,96.758,97.244,97.010,97.704,97.677,98.809,99.583,100.011,100.146,100.260,101.148,101.273,102.066,102.881,102.590,103.979,105.248,105.841,106.845,107.568,107.958,108.131,108.744,109.083,109.677,110.367,110.991,111.465,112.278,113.351,114.407,115.172,115.777,116.157,116.999,117.433,118.181,118.874,117.373,106.825,114.815,116.036,117.839
 "00000","United States", ,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",12761337.0,12910022.0,13142873.0,13332316.0,13603933.0,13749806.0,13867469.0,14037228.0,14208569.0,14382363.0,14535003.0,14681501.0,14651039.0,14805611.0,14835187.0,14559543.0,14394547.0,14352850.0,14420312.0,14628021.0,14721350.0,14926098.0,15079917.0,15240843.0,15285828.0,15496189.0,15591850.0,15796460.0,16019758.0,16152257.0,16257151.0,16358863.0,16569591.0,16637926.0,16848748.0,17083137.0,17104555.0,17432909.0,17721657.0,17849912.0,18003399.0,18223577.0,18347425.0,18378803.0,18470156.0,18656207.0,18821359.0,19032580.0,19237435.0,19379232.0,19617288.0,19937963.0,20242215.0,20552653.0,20742723.0,20909853.0,21115309.0,21329877.0,21540325.0,21747394.0,21561139.0,19520114.0,21170252.0,21494731.0,22061503.0
 "01000","Alabama",5,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",179846.1,181876.3,181738.0,184023.8,184398.3,185547.7,185560.0,185842.0,184657.4,186079.2,187496.9,187764.3,186746.8,187583.5,186123.5,180668.5,178462.7,178509.9,179061.1,179539.9,179614.4,181898.6,185364.5,185180.5,183881.2,184889.9,185700.5,188196.1,187565.7,187823.0,185594.9,185231.9,189326.8,188505.6,189814.6,187609.7,185040.5,187596.5,188793.6,188841.6,188020.3,189664.3,190268.1,189762.6,190472.2,191585.3,191506.9,192529.2,193125.5,192926.2,193380.0,195340.2,197154.4,197704.5,197936.2,199419.7,199819.5,200006.6,201415.8,202075.5,200425.9,183585.7,197739.6,200147.4,203474.1
 "01000","Alabama",5,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",96.404,97.493,97.419,98.644,98.845,99.461,99.467,99.618,98.983,99.746,100.505,100.649,100.103,100.552,99.769,96.845,95.663,95.688,95.984,96.240,96.280,97.505,99.362,99.264,98.567,99.108,99.543,100.880,100.542,100.680,99.486,99.291,101.486,101.046,101.748,100.566,99.189,100.559,101.201,101.226,100.786,101.667,101.991,101.720,102.100,102.697,102.655,103.203,103.523,103.416,103.659,104.710,105.682,105.977,106.101,106.897,107.111,107.211,107.967,108.320,107.436,98.409,105.996,107.287,109.070
 "01000","Alabama",5,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",153077.8,155409.9,156809.7,160315.8,161732.8,163926.5,165313.1,166419.0,167130.4,169652.4,171802.3,172470.3,172088.8,173859.5,174178.6,170582.1,168718.5,168375.9,169075.5,170344.1,171057.9,174016.2,178045.5,178760.9,178594.7,180756.7,182995.5,185372.6,185946.1,187360.7,186205.4,186703.3,191361.7,191087.0,193398.3,192819.1,190838.2,194511.1,196927.7,197873.7,197620.9,200190.9,201704.0,201274.1,201819.8,204301.2,204782.5,206915.3,208788.9,209318.9,210957.6,214517.5,217867.9,220377.9,221504.3,224372.7,225565.2,226927.0,229328.2,230750.1,229831.4,209852.3,228062.3,231736.3,238725.6
 "02000","Alaska",8,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",44775.5,45197.5,44835.4,45450.3,46707.6,48252.6,48814.4,50379.2,50744.2,51636.2,51542.5,50653.1,49481.7,48445.7,50483.8,55152.8,57293.5,56661.1,55201.2,54486.5,53196.2,54431.8,54776.7,54471.3,52854.8,54074.9,54789.7,57171.2,57093.6,58639.7,58173.0,56963.9,56207.0,54228.6,54563.6,53993.2,53077.2,53290.9,53552.4,54001.9,54513.6,53918.1,53830.5,53799.1,54245.1,53348.1,52824.4,52738.3,52817.7,52731.2,53108.2,52646.4,52871.3,52919.4,52878.7,53045.5,53046.5,53031.1,53503.0,53440.2,52615.9,47460.3,50890.9,51615.1,52293.0
 "02000","Alaska",8,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",77.577,78.308,77.681,78.746,80.925,83.601,84.575,87.286,87.918,89.464,89.301,87.760,85.731,83.936,87.467,95.556,99.265,98.170,95.640,94.402,92.166,94.307,94.905,94.376,91.575,93.689,94.927,99.053,98.919,101.598,100.789,98.694,97.383,93.955,94.536,93.547,91.960,92.331,92.784,93.562,94.449,93.417,93.265,93.211,93.984,92.430,91.522,91.373,91.511,91.361,92.014,91.214,91.604,91.687,91.616,91.905,91.907,91.880,92.698,92.589,91.161,82.229,88.172,89.427,90.602
 "02000","Alaska",8,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",37393.9,38641.2,40259.9,42859.7,42664.7,44378.4,45039.4,45745.9,46468.8,48781.9,49648.2,51111.8,52447.8,55938.1,57386.3,53263.8,50559.0,49263.8,48626.8,50156.9,51607.4,52558.1,53506.4,54119.1,53936.8,56481.1,56527.7,58390.1,57909.3,58077.9,57734.9,57148.1,57277.7,56002.2,57194.9,56026.2,56172.5,56614.0,55991.2,54224.6,51408.5,51420.2,50413.2,49670.5,49040.8,49678.6,49823.1,50479.7,51335.8,51284.3,51831.4,52496.4,53536.9,54207.3,54662.3,54765.1,54137.6,54279.9,54449.9,54674.7,52864.4,45644.4,50412.9,52065.0,54628.8
 "04000","Arizona",6,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",255931.0,261074.4,266993.9,268190.2,274004.3,274871.2,278152.9,281727.4,281852.7,284289.8,287169.4,285935.1,283803.1,281617.2,277282.8,266727.2,258481.7,253989.0,251940.2,255216.8,252585.7,256310.8,259009.7,261681.2,260639.9,261620.0,262487.7,267828.8,267784.9,268817.2,267627.0,268043.4,269143.5,268989.0,270037.1,271700.2,271951.0,273310.4,275544.6,275645.5,279574.9,281709.8,281499.6,284958.0,286436.3,290018.5,293655.5,294928.1,298506.6,299757.4,304287.1,305919.9,311712.7,312751.0,314836.7,316763.9,318965.8,321335.6,325081.4,329007.5,326367.3,303451.0,324679.8,328135.0,334030.9
